user_id,event_date,event_type,feature_name
603,2024-03-20,assign_task,Task Collaboration
750,2024-06-02,login,Authentication
776,2024-04-11,comment,Task Collaboration
691,2024-01-25,login,Authentication
494,2024-06-17,comment,Task Collaboration
490,2024-02-28,upload_file,File Sharing
721,2024-02-14,comment,Task Collaboration
73,2024-02-10,complete_task,Task Completion
509,2024-02-07,comment,Task Collaboration
390,2024-04-26,comment,Task Collaboration
619,2024-01-19,login,Authentication
857,2024-01-14,complete_task,Task Completion
295,2024-05-06,login,Authentication
369,2024-05-28,complete_task,Task Completion
956,2024-05-22,login,Authentication
796,2024-01-03,login,Authentication
865,2024-02-06,upload_file,File Sharing
694,2024-04-26,login,Authentication
549,2024-06-22,upload_file,File Sharing
649,2024-01-16,login,Authentication
850,2024-05-21,integrate_tool,Integrations
568,2024-01-09,comment,Task Collaboration
187,2024-01-07,comment,Task Collaboration
853,2024-05-21,create_task,Task Management
770,2024-05-13,login,Authentication
445,2024-01-15,upload_file,File Sharing
570,2024-06-28,login,Authentication
363,2024-03-12,create_task,Task Management
123,2024-06-10,assign_task,Task Collaboration
188,2024-04-13,create_task,Task Management
742,2024-05-08,login,Authentication
680,2024-04-05,login,Authentication
420,2024-05-01,login,Authentication
626,2024-04-24,integrate_tool,Integrations
252,2024-05-27,login,Authentication
619,2024-03-20,complete_task,Task Completion
549,2024-01-07,login,Authentication
335,2024-05-14,login,Authentication
92,2024-02-19,assign_task,Task Collaboration
530,2024-05-09,login,Authentication
866,2024-02-16,assign_task,Task Collaboration
63,2024-01-14,integrate_tool,Integrations
662,2024-01-31,login,Authentication
512,2024-02-19,upload_file,File Sharing
139,2024-02-10,create_task,Task Management
698,2024-01-14,login,Authentication
185,2024-05-12,login,Authentication
205,2024-01-05,complete_task,Task Completion
772,2024-06-05,login,Authentication
214,2024-01-05,integrate_tool,Integrations
256,2024-04-22,create_task,Task Management
135,2024-04-27,login,Authentication
573,2024-04-05,create_task,Task Management
875,2024-02-05,upload_file,File Sharing
822,2024-03-19,comment,Task Collaboration
88,2024-01-19,create_task,Task Management
836,2024-01-22,integrate_tool,Integrations
988,2024-06-10,login,Authentication
207,2024-02-25,complete_task,Task Completion
129,2024-01-17,upload_file,File Sharing
823,2024-01-17,comment,Task Collaboration
3,2024-05-25,upload_file,File Sharing
974,2024-06-21,create_task,Task Management
934,2024-03-18,comment,Task Collaboration
754,2024-02-25,assign_task,Task Collaboration
121,2024-03-20,create_task,Task Management
385,2024-02-19,assign_task,Task Collaboration
614,2024-02-27,login,Authentication
38,2024-01-18,create_task,Task Management
341,2024-05-14,login,Authentication
925,2024-03-16,login,Authentication
645,2024-01-10,login,Authentication
714,2024-03-09,integrate_tool,Integrations
860,2024-03-25,create_task,Task Management
21,2024-05-10,comment,Task Collaboration
242,2024-03-23,login,Authentication
455,2024-04-18,create_task,Task Management
963,2024-02-13,login,Authentication
621,2024-05-21,login,Authentication
303,2024-05-11,assign_task,Task Collaboration
596,2024-01-18,assign_task,Task Collaboration
595,2024-04-02,login,Authentication
803,2024-06-28,create_task,Task Management
964,2024-02-07,integrate_tool,Integrations
69,2024-05-27,login,Authentication
129,2024-06-20,login,Authentication
196,2024-02-20,comment,Task Collaboration
140,2024-01-19,login,Authentication
444,2024-04-29,complete_task,Task Completion
283,2024-03-08,assign_task,Task Collaboration
312,2024-03-06,create_task,Task Management
746,2024-05-20,create_task,Task Management
535,2024-06-06,assign_task,Task Collaboration
665,2024-04-07,login,Authentication
277,2024-06-06,complete_task,Task Completion
61,2024-06-27,assign_task,Task Collaboration
319,2024-03-28,login,Authentication
890,2024-06-24,assign_task,Task Collaboration
52,2024-02-02,login,Authentication
856,2024-04-14,login,Authentication
153,2024-03-14,assign_task,Task Collaboration
749,2024-03-22,assign_task,Task Collaboration
311,2024-01-19,assign_task,Task Collaboration
814,2024-03-11,login,Authentication
544,2024-02-26,assign_task,Task Collaboration
567,2024-05-26,login,Authentication
864,2024-03-19,assign_task,Task Collaboration
389,2024-06-17,assign_task,Task Collaboration
548,2024-02-11,comment,Task Collaboration
622,2024-06-28,integrate_tool,Integrations
177,2024-04-25,integrate_tool,Integrations
362,2024-01-04,complete_task,Task Completion
314,2024-01-04,complete_task,Task Completion
807,2024-01-05,upload_file,File Sharing
848,2024-02-10,complete_task,Task Completion
97,2024-04-17,integrate_tool,Integrations
881,2024-03-27,comment,Task Collaboration
213,2024-04-13,login,Authentication
829,2024-04-26,login,Authentication
137,2024-04-10,upload_file,File Sharing
6,2024-03-15,create_task,Task Management
109,2024-03-15,upload_file,File Sharing
547,2024-01-13,login,Authentication
39,2024-05-21,create_task,Task Management
662,2024-01-25,comment,Task Collaboration
425,2024-04-24,complete_task,Task Completion
630,2024-06-20,login,Authentication
261,2024-03-22,integrate_tool,Integrations
426,2024-01-10,upload_file,File Sharing
87,2024-02-19,login,Authentication
465,2024-06-20,create_task,Task Management
76,2024-05-21,login,Authentication
471,2024-01-15,login,Authentication
976,2024-01-16,create_task,Task Management
963,2024-01-02,login,Authentication
414,2024-06-06,login,Authentication
825,2024-01-30,upload_file,File Sharing
895,2024-03-22,assign_task,Task Collaboration
726,2024-01-31,assign_task,Task Collaboration
457,2024-03-17,login,Authentication
285,2024-05-27,upload_file,File Sharing
239,2024-06-25,integrate_tool,Integrations
677,2024-04-23,create_task,Task Management
599,2024-02-04,complete_task,Task Completion
653,2024-01-23,upload_file,File Sharing
672,2024-04-15,comment,Task Collaboration
558,2024-04-06,comment,Task Collaboration
372,2024-04-24,login,Authentication
495,2024-04-09,login,Authentication
624,2024-02-24,login,Authentication
919,2024-01-08,login,Authentication
45,2024-06-16,login,Authentication
401,2024-02-28,integrate_tool,Integrations
247,2024-05-07,login,Authentication
616,2024-02-01,complete_task,Task Completion
597,2024-04-02,assign_task,Task Collaboration
450,2024-01-07,login,Authentication
485,2024-01-02,create_task,Task Management
646,2024-03-25,login,Authentication
620,2024-05-13,complete_task,Task Completion
18,2024-04-15,upload_file,File Sharing
606,2024-02-05,login,Authentication
662,2024-06-08,complete_task,Task Completion
758,2024-02-14,comment,Task Collaboration
289,2024-02-11,login,Authentication
414,2024-02-22,comment,Task Collaboration
721,2024-04-19,assign_task,Task Collaboration
638,2024-01-09,login,Authentication
235,2024-03-27,upload_file,File Sharing
416,2024-04-23,login,Authentication
938,2024-03-15,create_task,Task Management
499,2024-06-25,login,Authentication
974,2024-05-09,complete_task,Task Completion
634,2024-01-11,upload_file,File Sharing
650,2024-02-19,login,Authentication
115,2024-06-11,login,Authentication
932,2024-05-01,login,Authentication
674,2024-05-22,upload_file,File Sharing
713,2024-03-15,login,Authentication
234,2024-01-31,upload_file,File Sharing
540,2024-04-01,complete_task,Task Completion
11,2024-06-04,comment,Task Collaboration
206,2024-06-01,login,Authentication
679,2024-04-01,create_task,Task Management
247,2024-06-01,create_task,Task Management
559,2024-03-15,assign_task,Task Collaboration
758,2024-04-01,comment,Task Collaboration
127,2024-05-08,assign_task,Task Collaboration
147,2024-02-11,create_task,Task Management
118,2024-04-19,integrate_tool,Integrations
911,2024-06-10,login,Authentication
382,2024-01-18,create_task,Task Management
412,2024-03-17,upload_file,File Sharing
664,2024-05-12,login,Authentication
584,2024-01-20,comment,Task Collaboration
363,2024-05-06,upload_file,File Sharing
509,2024-03-15,comment,Task Collaboration
137,2024-03-02,login,Authentication
175,2024-02-01,login,Authentication
289,2024-06-26,login,Authentication
958,2024-06-14,login,Authentication
481,2024-01-28,complete_task,Task Completion
19,2024-03-14,comment,Task Collaboration
195,2024-03-21,login,Authentication
330,2024-01-22,complete_task,Task Completion
936,2024-06-19,comment,Task Collaboration
175,2024-06-12,login,Authentication
449,2024-04-05,create_task,Task Management
925,2024-05-01,login,Authentication
946,2024-05-02,complete_task,Task Completion
354,2024-02-21,create_task,Task Management
499,2024-06-12,integrate_tool,Integrations
141,2024-06-04,login,Authentication
758,2024-03-18,integrate_tool,Integrations
897,2024-06-12,login,Authentication
930,2024-03-10,complete_task,Task Completion
93,2024-05-16,complete_task,Task Completion
944,2024-01-21,create_task,Task Management
239,2024-03-04,upload_file,File Sharing
205,2024-03-16,upload_file,File Sharing
560,2024-03-01,complete_task,Task Completion
433,2024-04-04,login,Authentication
245,2024-02-09,create_task,Task Management
832,2024-01-04,integrate_tool,Integrations
317,2024-01-31,upload_file,File Sharing
925,2024-06-03,create_task,Task Management
295,2024-06-01,upload_file,File Sharing
640,2024-03-09,login,Authentication
856,2024-03-10,upload_file,File Sharing
282,2024-01-05,login,Authentication
17,2024-04-24,login,Authentication
71,2024-03-31,create_task,Task Management
269,2024-01-08,create_task,Task Management
325,2024-01-09,create_task,Task Management
794,2024-01-15,create_task,Task Management
305,2024-04-14,login,Authentication
451,2024-01-07,login,Authentication
7,2024-03-12,upload_file,File Sharing
314,2024-04-24,create_task,Task Management
817,2024-01-15,create_task,Task Management
103,2024-06-13,assign_task,Task Collaboration
821,2024-03-23,complete_task,Task Completion
193,2024-02-08,comment,Task Collaboration
753,2024-05-13,login,Authentication
574,2024-02-26,upload_file,File Sharing
529,2024-04-01,complete_task,Task Completion
171,2024-03-21,create_task,Task Management
537,2024-05-26,complete_task,Task Completion
251,2024-05-06,create_task,Task Management
765,2024-06-07,create_task,Task Management
387,2024-03-15,login,Authentication
207,2024-03-19,comment,Task Collaboration
541,2024-01-10,login,Authentication
629,2024-04-16,login,Authentication
416,2024-03-27,login,Authentication
794,2024-03-07,login,Authentication
380,2024-03-02,create_task,Task Management
144,2024-05-10,assign_task,Task Collaboration
25,2024-05-25,login,Authentication
822,2024-06-01,complete_task,Task Completion
668,2024-04-16,login,Authentication
73,2024-05-27,create_task,Task Management
632,2024-04-02,login,Authentication
824,2024-03-26,login,Authentication
833,2024-06-26,login,Authentication
93,2024-04-30,assign_task,Task Collaboration
505,2024-03-19,upload_file,File Sharing
598,2024-01-10,login,Authentication
336,2024-05-28,create_task,Task Management
425,2024-01-29,login,Authentication
499,2024-04-05,upload_file,File Sharing
364,2024-01-10,upload_file,File Sharing
947,2024-01-13,login,Authentication
630,2024-02-16,create_task,Task Management
745,2024-05-30,complete_task,Task Completion
199,2024-02-19,create_task,Task Management
718,2024-05-11,create_task,Task Management
413,2024-04-25,create_task,Task Management
339,2024-04-22,assign_task,Task Collaboration
659,2024-03-25,complete_task,Task Completion
962,2024-02-22,complete_task,Task Completion
937,2024-05-09,upload_file,File Sharing
429,2024-03-08,create_task,Task Management
783,2024-03-19,create_task,Task Management
899,2024-02-26,create_task,Task Management
139,2024-04-06,complete_task,Task Completion
693,2024-05-14,comment,Task Collaboration
942,2024-05-26,create_task,Task Management
542,2024-06-20,login,Authentication
57,2024-03-03,create_task,Task Management
232,2024-03-05,complete_task,Task Completion
658,2024-02-08,create_task,Task Management
435,2024-04-18,login,Authentication
384,2024-01-26,login,Authentication
560,2024-06-20,create_task,Task Management
194,2024-01-12,complete_task,Task Completion
736,2024-05-29,complete_task,Task Completion
648,2024-03-17,complete_task,Task Completion
534,2024-05-21,comment,Task Collaboration
518,2024-03-26,assign_task,Task Collaboration
716,2024-01-30,assign_task,Task Collaboration
751,2024-06-20,create_task,Task Management
185,2024-06-14,comment,Task Collaboration
872,2024-06-18,create_task,Task Management
292,2024-02-21,comment,Task Collaboration
335,2024-03-03,login,Authentication
732,2024-04-29,login,Authentication
116,2024-04-14,upload_file,File Sharing
825,2024-06-10,complete_task,Task Completion
49,2024-02-08,create_task,Task Management
685,2024-02-10,login,Authentication
82,2024-04-30,complete_task,Task Completion
834,2024-04-17,comment,Task Collaboration
333,2024-06-13,create_task,Task Management
557,2024-03-05,assign_task,Task Collaboration
335,2024-04-27,create_task,Task Management
532,2024-03-19,create_task,Task Management
960,2024-06-08,integrate_tool,Integrations
221,2024-01-08,login,Authentication
635,2024-04-06,login,Authentication
746,2024-01-18,login,Authentication
733,2024-06-21,login,Authentication
323,2024-04-05,login,Authentication
851,2024-02-02,login,Authentication
3,2024-01-05,login,Authentication
694,2024-05-06,login,Authentication
206,2024-03-14,login,Authentication
832,2024-05-05,login,Authentication
40,2024-06-12,assign_task,Task Collaboration
59,2024-05-30,assign_task,Task Collaboration
951,2024-06-16,login,Authentication
574,2024-01-05,assign_task,Task Collaboration
644,2024-02-03,complete_task,Task Completion
507,2024-01-24,complete_task,Task Completion
572,2024-05-24,login,Authentication
884,2024-04-04,upload_file,File Sharing
843,2024-03-11,create_task,Task Management
122,2024-04-01,login,Authentication
479,2024-05-04,login,Authentication
619,2024-01-22,login,Authentication
96,2024-01-15,create_task,Task Management
859,2024-04-10,comment,Task Collaboration
414,2024-01-15,comment,Task Collaboration
235,2024-06-01,login,Authentication
898,2024-02-22,login,Authentication
62,2024-05-28,login,Authentication
256,2024-04-11,create_task,Task Management
561,2024-04-22,complete_task,Task Completion
905,2024-02-01,upload_file,File Sharing
348,2024-01-21,complete_task,Task Completion
671,2024-06-20,comment,Task Collaboration
124,2024-03-23,create_task,Task Management
482,2024-01-14,create_task,Task Management
317,2024-01-15,create_task,Task Management
504,2024-05-27,create_task,Task Management
719,2024-02-03,upload_file,File Sharing
48,2024-06-12,create_task,Task Management
409,2024-03-23,login,Authentication
932,2024-01-09,upload_file,File Sharing
136,2024-06-06,integrate_tool,Integrations
201,2024-03-17,create_task,Task Management
250,2024-06-11,comment,Task Collaboration
314,2024-05-20,login,Authentication
869,2024-06-22,create_task,Task Management
368,2024-01-09,login,Authentication
429,2024-02-05,login,Authentication
830,2024-04-26,assign_task,Task Collaboration
807,2024-01-03,login,Authentication
480,2024-01-19,comment,Task Collaboration
314,2024-06-04,integrate_tool,Integrations
500,2024-01-23,login,Authentication
721,2024-04-13,comment,Task Collaboration
355,2024-05-14,create_task,Task Management
485,2024-04-14,login,Authentication
211,2024-05-21,comment,Task Collaboration
704,2024-02-15,assign_task,Task Collaboration
44,2024-05-22,create_task,Task Management
541,2024-01-15,complete_task,Task Completion
571,2024-02-20,create_task,Task Management
583,2024-04-19,complete_task,Task Completion
92,2024-01-08,create_task,Task Management
265,2024-03-09,login,Authentication
895,2024-06-27,create_task,Task Management
220,2024-03-03,login,Authentication
902,2024-03-08,assign_task,Task Collaboration
925,2024-05-23,comment,Task Collaboration
442,2024-05-31,create_task,Task Management
401,2024-01-06,login,Authentication
400,2024-04-28,create_task,Task Management
727,2024-02-26,login,Authentication
991,2024-01-31,comment,Task Collaboration
899,2024-01-06,upload_file,File Sharing
789,2024-06-05,complete_task,Task Completion
576,2024-03-07,login,Authentication
858,2024-05-10,create_task,Task Management
804,2024-06-04,assign_task,Task Collaboration
490,2024-03-14,complete_task,Task Completion
485,2024-04-23,assign_task,Task Collaboration
757,2024-04-06,login,Authentication
470,2024-06-24,create_task,Task Management
574,2024-03-20,comment,Task Collaboration
938,2024-05-02,comment,Task Collaboration
844,2024-05-17,integrate_tool,Integrations
682,2024-02-02,login,Authentication
445,2024-05-19,complete_task,Task Completion
269,2024-02-13,login,Authentication
267,2024-01-13,complete_task,Task Completion
54,2024-05-31,integrate_tool,Integrations
528,2024-06-20,comment,Task Collaboration
520,2024-02-26,comment,Task Collaboration
616,2024-04-05,login,Authentication
59,2024-05-23,login,Authentication
825,2024-04-18,login,Authentication
40,2024-04-29,login,Authentication
237,2024-04-09,create_task,Task Management
955,2024-05-28,login,Authentication
386,2024-04-20,integrate_tool,Integrations
606,2024-02-20,create_task,Task Management
734,2024-01-21,comment,Task Collaboration
716,2024-02-29,comment,Task Collaboration
650,2024-06-27,login,Authentication
300,2024-01-21,login,Authentication
395,2024-04-16,login,Authentication
207,2024-05-05,upload_file,File Sharing
336,2024-05-13,assign_task,Task Collaboration
593,2024-03-13,login,Authentication
730,2024-03-16,upload_file,File Sharing
514,2024-03-18,login,Authentication
178,2024-05-13,comment,Task Collaboration
396,2024-03-05,create_task,Task Management
371,2024-03-26,comment,Task Collaboration
858,2024-02-03,complete_task,Task Completion
791,2024-02-25,upload_file,File Sharing
658,2024-03-15,create_task,Task Management
318,2024-01-03,login,Authentication
736,2024-06-18,upload_file,File Sharing
369,2024-01-06,create_task,Task Management
384,2024-01-06,login,Authentication
62,2024-05-27,comment,Task Collaboration
806,2024-05-28,login,Authentication
505,2024-01-02,login,Authentication
239,2024-03-30,complete_task,Task Completion
195,2024-02-25,create_task,Task Management
678,2024-04-05,login,Authentication
963,2024-01-10,comment,Task Collaboration
222,2024-03-27,integrate_tool,Integrations
61,2024-03-10,login,Authentication
129,2024-05-30,comment,Task Collaboration
990,2024-04-22,upload_file,File Sharing
685,2024-01-30,login,Authentication
992,2024-05-07,create_task,Task Management
156,2024-03-18,login,Authentication
917,2024-06-13,comment,Task Collaboration
378,2024-02-24,upload_file,File Sharing
622,2024-02-18,login,Authentication
781,2024-02-03,upload_file,File Sharing
923,2024-04-14,upload_file,File Sharing
868,2024-06-20,login,Authentication
903,2024-01-22,comment,Task Collaboration
790,2024-01-31,login,Authentication
586,2024-05-14,complete_task,Task Completion
999,2024-04-14,assign_task,Task Collaboration
437,2024-05-28,assign_task,Task Collaboration
975,2024-01-16,comment,Task Collaboration
207,2024-01-20,assign_task,Task Collaboration
388,2024-02-12,integrate_tool,Integrations
480,2024-06-20,assign_task,Task Collaboration
791,2024-02-16,complete_task,Task Completion
887,2024-04-23,assign_task,Task Collaboration
838,2024-01-19,login,Authentication
984,2024-02-17,complete_task,Task Completion
340,2024-05-18,comment,Task Collaboration
869,2024-06-05,comment,Task Collaboration
340,2024-02-14,complete_task,Task Completion
204,2024-06-12,login,Authentication
161,2024-06-24,create_task,Task Management
540,2024-03-27,login,Authentication
392,2024-01-15,assign_task,Task Collaboration
769,2024-04-19,upload_file,File Sharing
677,2024-06-20,complete_task,Task Completion
575,2024-04-05,create_task,Task Management
534,2024-06-16,upload_file,File Sharing
70,2024-04-11,complete_task,Task Completion
893,2024-03-26,comment,Task Collaboration
405,2024-05-21,login,Authentication
608,2024-03-21,assign_task,Task Collaboration
675,2024-02-20,complete_task,Task Completion
591,2024-04-21,complete_task,Task Completion
517,2024-01-15,assign_task,Task Collaboration
828,2024-03-05,integrate_tool,Integrations
120,2024-03-28,login,Authentication
814,2024-03-16,login,Authentication
690,2024-01-10,complete_task,Task Completion
688,2024-02-11,login,Authentication
902,2024-04-04,login,Authentication
217,2024-01-11,create_task,Task Management
56,2024-04-27,assign_task,Task Collaboration
366,2024-05-23,assign_task,Task Collaboration
699,2024-05-04,login,Authentication
504,2024-03-18,complete_task,Task Completion
744,2024-05-26,complete_task,Task Completion
767,2024-06-07,create_task,Task Management
925,2024-03-30,create_task,Task Management
455,2024-01-08,comment,Task Collaboration
104,2024-05-31,comment,Task Collaboration
77,2024-05-15,create_task,Task Management
230,2024-04-20,create_task,Task Management
914,2024-06-24,login,Authentication
258,2024-06-06,login,Authentication
264,2024-02-27,create_task,Task Management
331,2024-03-26,comment,Task Collaboration
993,2024-02-24,comment,Task Collaboration
182,2024-05-01,upload_file,File Sharing
893,2024-04-17,create_task,Task Management
768,2024-02-17,upload_file,File Sharing
550,2024-05-11,login,Authentication
688,2024-06-13,create_task,Task Management
27,2024-05-15,upload_file,File Sharing
276,2024-05-08,assign_task,Task Collaboration
652,2024-02-16,create_task,Task Management
299,2024-01-05,assign_task,Task Collaboration
957,2024-06-26,complete_task,Task Completion
799,2024-01-24,assign_task,Task Collaboration
91,2024-06-23,upload_file,File Sharing
480,2024-01-18,complete_task,Task Completion
573,2024-03-24,comment,Task Collaboration
458,2024-06-04,assign_task,Task Collaboration
451,2024-01-05,login,Authentication
365,2024-01-30,create_task,Task Management
859,2024-01-01,assign_task,Task Collaboration
675,2024-03-26,upload_file,File Sharing
351,2024-03-22,create_task,Task Management
655,2024-06-22,complete_task,Task Completion
400,2024-03-09,login,Authentication
253,2024-01-31,comment,Task Collaboration
781,2024-03-31,create_task,Task Management
881,2024-04-02,create_task,Task Management
803,2024-05-06,upload_file,File Sharing
459,2024-06-04,login,Authentication
699,2024-01-16,login,Authentication
917,2024-02-23,create_task,Task Management
499,2024-05-19,create_task,Task Management
950,2024-01-20,upload_file,File Sharing
971,2024-03-22,complete_task,Task Completion
926,2024-06-10,login,Authentication
508,2024-05-30,assign_task,Task Collaboration
304,2024-04-18,comment,Task Collaboration
501,2024-06-03,complete_task,Task Completion
803,2024-04-22,complete_task,Task Completion
598,2024-01-17,comment,Task Collaboration
166,2024-06-24,create_task,Task Management
415,2024-05-28,login,Authentication
462,2024-06-26,create_task,Task Management
920,2024-06-16,assign_task,Task Collaboration
114,2024-05-05,comment,Task Collaboration
433,2024-01-03,assign_task,Task Collaboration
992,2024-01-17,comment,Task Collaboration
356,2024-02-19,create_task,Task Management
928,2024-05-01,comment,Task Collaboration
695,2024-03-30,login,Authentication
207,2024-03-27,login,Authentication
768,2024-01-06,login,Authentication
235,2024-06-04,integrate_tool,Integrations
442,2024-02-24,login,Authentication
355,2024-06-21,upload_file,File Sharing
515,2024-05-26,login,Authentication
208,2024-04-11,create_task,Task Management
709,2024-01-29,complete_task,Task Completion
853,2024-05-30,assign_task,Task Collaboration
125,2024-04-20,login,Authentication
138,2024-06-08,login,Authentication
339,2024-01-10,complete_task,Task Completion
537,2024-03-31,create_task,Task Management
68,2024-06-25,assign_task,Task Collaboration
573,2024-01-29,create_task,Task Management
541,2024-02-14,create_task,Task Management
383,2024-02-20,login,Authentication
19,2024-04-10,comment,Task Collaboration
683,2024-05-07,comment,Task Collaboration
450,2024-01-11,login,Authentication
74,2024-03-22,upload_file,File Sharing
573,2024-05-07,integrate_tool,Integrations
939,2024-01-06,complete_task,Task Completion
665,2024-03-07,login,Authentication
276,2024-03-02,login,Authentication
48,2024-05-12,integrate_tool,Integrations
211,2024-05-16,login,Authentication
855,2024-01-28,login,Authentication
920,2024-02-07,integrate_tool,Integrations
651,2024-02-12,login,Authentication
622,2024-04-26,create_task,Task Management
994,2024-05-28,create_task,Task Management
695,2024-02-15,upload_file,File Sharing
540,2024-06-14,login,Authentication
709,2024-02-18,integrate_tool,Integrations
191,2024-02-08,assign_task,Task Collaboration
315,2024-03-11,create_task,Task Management
901,2024-05-06,login,Authentication
563,2024-06-06,login,Authentication
661,2024-05-28,assign_task,Task Collaboration
780,2024-01-01,create_task,Task Management
562,2024-06-08,complete_task,Task Completion
900,2024-05-15,create_task,Task Management
758,2024-03-09,create_task,Task Management
113,2024-01-30,create_task,Task Management
170,2024-04-24,upload_file,File Sharing
468,2024-01-08,create_task,Task Management
678,2024-04-22,login,Authentication
921,2024-01-19,integrate_tool,Integrations
14,2024-02-28,assign_task,Task Collaboration
715,2024-06-06,assign_task,Task Collaboration
288,2024-03-19,assign_task,Task Collaboration
907,2024-02-05,comment,Task Collaboration
189,2024-02-24,login,Authentication
914,2024-02-13,login,Authentication
155,2024-06-03,upload_file,File Sharing
567,2024-03-17,login,Authentication
694,2024-03-18,comment,Task Collaboration
722,2024-04-10,login,Authentication
888,2024-06-24,create_task,Task Management
471,2024-01-30,login,Authentication
75,2024-02-08,create_task,Task Management
277,2024-01-13,comment,Task Collaboration
940,2024-05-01,login,Authentication
645,2024-05-23,create_task,Task Management
343,2024-06-20,complete_task,Task Completion
425,2024-04-21,create_task,Task Management
